"","RL.cat","pext","RL.cat.num"
"425","LC",0.0276903323427353,0.2125
"426","LC",0.0277457674855685,0.213
"427","LC",0.0278011760693026,0.2135
"428","LC",0.0278565581091252,0.214
"429","LC",0.0279119136202233,0.2145
"430","LC",0.0279672426177829,0.215
"431","LC",0.0280225451169898,0.2155
"432","LC",0.0280778211330288,0.216
"433","LC",0.0281330706810842,0.2165
"434","LC",0.0281882937763395,0.217
"435","LC",0.0282434904339775,0.2175
"436","LC",0.0282986606691806,0.218
"437","LC",0.0283538044971301,0.2185
"438","LC",0.0284089219330071,0.219
"439","LC",0.0284640129919915,0.2195
"440","LC",0.0285190776892631,0.22
"441","LC",0.0285741160400006,0.2205
"442","LC",0.0286291280593822,0.221
"443","LC",0.0286841137625853,0.2215
"444","LC",0.0287390731647869,0.222
"445","LC",0.028794006281163,0.2225
"446","LC",0.0288489131268891,0.223
"447","LC",0.02890379371714,0.2235
"448","LC",0.0289586480670899,0.224
"449","LC",0.0290134761919122,0.2245
"450","LC",0.0290682781067797,0.225
"451","LC",0.0291230538268645,0.2255
"452","LC",0.029177803367338,0.226
"453","LC",0.029232526743371,0.2265
"454","LC",0.0292872239701336,0.227
"455","LC",0.0293418950627952,0.2275
"456","LC",0.0293965400365246,0.228
"457","LC",0.0294511589064897,0.2285
"458","LC",0.0295057516878581,0.229
"459","LC",0.0295603183957964,0.2295
"460","LC",0.0296148590454707,0.23
"461","LC",0.0296693736520464,0.2305
"462","LC",0.0297238622306881,0.231
"463","LC",0.02977832479656,0.2315
"464","LC",0.0298327613648253,0.232
"465","LC",0.0298871719506468,0.2325
"466","LC",0.0299415565691864,0.233
"467","LC",0.0299959152356055,0.2335
"468","LC",0.0300502479650648,0.234
"469","LC",0.0301045547727242,0.2345
"470","LC",0.0301588356737432,0.235
"471","LC",0.0302130906832802,0.2355
"472","LC",0.0302673198164934,0.236
"473","LC",0.0303215230885399,0.2365
"474","LC",0.0303757005145765,0.237
"475","LC",0.0304298521097591,0.2375
"476","LC",0.0304839778892429,0.238
"477","LC",0.0305380778681826,0.2385
"478","LC",0.0305921520617322,0.239
"479","LC",0.0306462004850447,0.2395
"480","LC",0.030700223153273,0.24
"481","LC",0.0307542200815688,0.2405
"482","LC",0.0308081912850835,0.241
"483","LC",0.0308621367789675,0.2415
"484","LC",0.0309160565783708,0.242
"485","LC",0.0309699506984426,0.2425
"486","LC",0.0310238191543315,0.243
"487","LC",0.0310776619611853,0.2435
"488","LC",0.0311314791341513,0.244
"489","LC",0.0311852706883759,0.2445
"490","LC",0.0312390366390051,0.245
"491","LC",0.0312927770011839,0.2455
"492","LC",0.031346491790057,0.246
"493","LC",0.0314001810207682,0.2465
"494","LC",0.0314538447084606,0.247
"495","LC",0.0315074828682767,0.2475
"496","LC",0.0315610955153583,0.248
"497","LC",0.0316146826648467,0.2485
"498","LC",0.0316682443318822,0.249
"499","LC",0.0317217805316046,0.2495
"500","LC",0.0317752912791532,0.25
"501","LC",0.0318287765896663,0.2505
"502","LC",0.0318822364782817,0.251
"503","LC",0.0319356709601365,0.2515
"504","LC",0.0319890800503673,0.252
"505","LC",0.0320424637641096,0.2525
"506","LC",0.0320958221164986,0.253
"507","LC",0.0321491551226688,0.2535
"508","LC",0.0322024627977539,0.254
"509","LC",0.0322557451568868,0.2545
"510","LC",0.0323090022152002,0.255
"511","LC",0.0323622339878256,0.2555
"512","LC",0.032415440489894,0.256
"513","LC",0.032468621736536,0.2565
"514","LC",0.0325217777428812,0.257
"515","LC",0.0325749085240586,0.2575
"516","LC",0.0326280140951965,0.258
"517","LC",0.0326810944714227,0.2585
"518","LC",0.0327341496678642,0.259
"519","LC",0.0327871796996473,0.2595
"520","LC",0.0328401845818977,0.26
"521","LC",0.0328931643297403,0.2605
"522","LC",0.0329461189582995,0.261
"523","LC",0.032999048482699,0.2615
"524","LC",0.0330519529180616,0.262
"525","LC",0.0331048322795098,0.2625
"526","LC",0.0331576865821651,0.263
"527","LC",0.0332105158411484,0.2635
"528","LC",0.0332633200715801,0.264
"529","LC",0.0333160992885798,0.2645
"530","LC",0.0333688535072664,0.265
"531","LC",0.0334215827427582,0.2655
"532","LC",0.0334742870101727,0.266
"533","LC",0.0335269663246268,0.2665
"534","LC",0.0335796207012369,0.267
"535","LC",0.0336322501551184,0.2675
"536","LC",0.0336848547013863,0.268
"537","LC",0.0337374343551548,0.2685
"538","LC",0.0337899891315374,0.269
"539","LC",0.0338425190456471,0.2695
"540","LC",0.0338950241125959,0.27
"541","LC",0.0339475043474955,0.2705
"542","LC",0.0339999597654568,0.271
"543","LC",0.0340523903815898,0.2715
"544","LC",0.0341047962110041,0.272
"545","LC",0.0341571772688085,0.2725
"546","LC",0.0342095335701112,0.273
"547","LC",0.0342618651300197,0.2735
"548","LC",0.0343141719636409,0.274
"549","LC",0.0343664540860807,0.2745
"550","LC",0.0344187115124448,0.275
"551","LC",0.0344709442578379,0.2755
"552","LC",0.0345231523373642,0.276
"553","LC",0.0345753357661271,0.2765
"554","LC",0.0346274945592293,0.277
"555","LC",0.034679628731773,0.2775
"556","LC",0.0347317382988597,0.278
"557","LC",0.03478382327559,0.2785
"558","LC",0.0348358836770641,0.279
"559","LC",0.0348879195183814,0.2795
"560","LC",0.0349399308146405,0.28
"561","LC",0.0349919175809397,0.2805
"562","LC",0.0350438798323763,0.281
"563","LC",0.0350958175840469,0.2815
"564","LC",0.0351477308510477,0.282
"565","LC",0.035199619648474,0.2825
"566","LC",0.0352514839914206,0.283
"567","LC",0.0353033238949814,0.2835
"568","LC",0.0353551393742498,0.284
"569","LC",0.0354069304443185,0.2845
"570","LC",0.0354586971202795,0.285
"571","LC",0.0355104394172242,0.2855
"572","LC",0.0355621573502431,0.286
"573","LC",0.0356138509344264,0.2865
"574","LC",0.0356655201848632,0.287
"575","LC",0.0357171651166424,0.2875
"576","LC",0.0357687857448517,0.288
"577","LC",0.0358203820845786,0.2885
"578","LC",0.0358719541509096,0.289
"579","LC",0.0359235019589307,0.2895
"580","LC",0.0359750255237272,0.29
"581","LC",0.0360265248603836,0.2905
"582","LC",0.036077999983984,0.291
"583","LC",0.0361294509096116,0.2915
"584","LC",0.0361808776523489,0.292
"585","LC",0.0362322802272779,0.2925
"586","LC",0.0362836586494798,0.293
"587","LC",0.0363350129340352,0.2935
"588","LC",0.0363863430960239,0.294
"589","LC",0.0364376491505253,0.2945
"590","LC",0.0364889311126178,0.295
"591","LC",0.0365401889973793,0.2955
"592","LC",0.036591422819887,0.296
"593","LC",0.0366426325952175,0.2965
"594","LC",0.0366938183384465,0.297
"595","LC",0.0367449800646494,0.2975
